date,SGDM,CWB,TRHC,DALT,LBTYA,ESGE,KMB,AUST,MO,RING,PLCE,DBAW,TTP,VLU,EYLD,EEA,ESGI,CNRG,BSCU,CFBK,FTHI,UWM,CGEN,MLN,TMTS,EBIZ,STIP,KWEB,EDIV,ZGNX,UJPY,UFPI,USRI,REED,VCLT,OPBK,ETHI,BABA,SEAC,IDV,MIDU,GXC,UPC,KEMQ,JSML,PZD,ARCB,HAP,ZIONP,LHAA,MCHI,CHI,FTIVW,MIDD
2021-05-19 16:00:00,32.19,81.1941,41.0,10.02,27.42,43.53,,0,,,,,,145.39,,,,,0,,,,,,9.9,32.56,106.47,70.305,30.13,,,,,,,,0,0,0,0,0,0,3.21,31.148,64.76,,77.93,,,0,,,0,
2021-05-19 15:45:00,32.065,80.91,40.76,,27.395,43.43,,0,,,,,,,,,,,0,,,,,,9.9,32.38,106.529,70.08,,,,,,,,,0,0,0,0,0,0,,,,,78.0,,,0,,,0,
2021-05-19 15:40:00,32.08,80.9872,41.01,,27.405,43.455,,0,,,,,22.435,144.93,,,,,0,,,,,,9.9,,106.53,70.215,,,,,,,,,0,0,0,0,0,0,,,64.675,,78.37,,,0,,,0,
2021-05-19 15:20:00,32.025,80.898,41.11,10.03,27.52,43.415,,0,,,,,,144.85,38.17,,,,0,,,,,,9.9,32.4,106.5319,70.195,,,,,,,,,0,0,0,0,0,0,,,,,78.28,,,0,,,0,
2021-05-19 15:15:00,31.98,80.93,41.095,,27.485,43.43,,0,,,,,,,,,,,0,,,,,,9.9,,106.5275,70.23,,,,,,,,,0,0,0,0,0,0,,,64.56,,78.34,,,0,,,0,
2021-05-19 15:05:00,31.98,80.73,40.875,,27.425,43.34,,0,,,,,,,,,,,0,,,,,,9.9,32.294,106.505,70.0,,,,,,,,,0,0,0,0,0,0,,,,,77.6,,,0,,,0,
2021-05-19 15:00:00,31.8911,80.85,40.9,,27.39,43.37,,0,,,,,22.3259,,,,,,0,,,,,,9.9,,106.515,70.06,,,,,,,,,0,0,0,0,0,0,3.17,,,,77.985,,,0,,,0,
2021-05-19 14:55:00,32.0,80.79,40.8,,27.38,43.35,,0,,,,,,,,,,,0,,,,,,9.9,,106.505,70.1,,,,,,,,,0,0,0,0,0,0,,30.99,64.45,,78.09,,,0,,,0,
2021-05-19 14:50:00,32.05,80.7719,40.73,,27.37,43.32,,0,,,,,,,,,,,0,,,,,,9.9,,106.5075,70.01,,,,,,,,,0,0,0,0,0,0,3.18,,,,77.95,,,0,,,0,
2021-05-19 14:35:00,32.3,80.965,41.3,,27.52,43.46,,0,,,,,22.55,145.25,,,,,0,,,,,,9.9,,106.585,70.32,30.165,,,,,,,,0,0,0,0,0,0,,,,,77.97,,,0,,,0,
2021-05-19 14:25:00,32.35,81.0584,41.13,,27.58,43.51,,0,,,,,,145.18,,,,,0,,,,,,9.9,,106.6,70.4,30.16,,,,,,,,0,0,0,0,0,0,,,,,78.27,,,0,,,0,
2021-05-19 14:20:00,32.3368,80.64,40.76,,27.47,43.34,,0,,,,,22.47,,,,,,0,,,,,,9.9,32.2016,106.62,70.085,,,,,,,,,0,0,0,0,0,0,3.16,31.05,64.38,,77.58,46.939,,0,,,0,
2021-05-19 14:15:00,32.355,80.6126,40.655,,27.505,43.34,,0,,,,,22.56,144.6499,,11.515,,,0,,,,,,9.9,,106.66,70.02,30.095,,,,,,,,0,0,0,0,0,0,3.189,,,,77.73,47.08,,0,,,0,
2021-05-19 14:05:00,32.75,80.6,40.655,10.05,27.58,43.42,,0,,,,,,,,11.53,,,0,,,,,,9.9,32.34,106.71,70.16,30.14,,,,,,,,0,0,0,0,0,0,,,,,77.81,47.345,,0,,,0,
2021-05-19 14:00:00,32.8631,80.87,40.66,,27.65,43.54,,0,,,,,,,,,,,0,,,,,,9.9,,106.75,70.29,,,,,,,,,0,0,0,0,0,0,,,,,77.755,,,0,,,0,
2021-05-19 13:20:00,32.88,80.9301,,,27.8,43.59,,0,,,,,,145.34,,,,,0,,,,,,9.9,,106.76,70.33,,,,,,,,,0,0,0,0,0,0,,,,,78.04,47.3885,,0,,,0,
2021-05-19 13:10:00,32.84,80.94,40.83,,27.81,43.59,,0,,,,,22.4513,145.24,,,,,0,,,,,,9.9,32.41,106.7508,70.38,30.27,,,,,,,,0,0,0,0,0,0,,,,,78.05,,,0,,,0,
2021-05-19 13:05:00,32.7501,80.819,40.77,,27.77,43.55,,0,,,,,,,,,,,0,,,,,,9.9,,106.75,70.32,30.235,,,,,,,,0,0,0,0,0,0,3.165,,,,77.96,,,0,,,0,
2021-05-19 12:45:00,32.75,80.87,40.73,,27.78,43.53,,0,,,,,,,,,,,0,,,,,,9.9,32.36,106.7451,70.3,,,,,,,,,0,0,0,0,0,0,3.17,,64.47,,77.73,,,0,,,0,
2021-05-19 12:40:00,32.7867,80.8077,40.82,,27.78,43.5019,,0,,,,,,,,,,,0,,,,,,9.9,,106.7401,70.31,,,,,,,,,0,0,0,0,0,0,,31.13,,,77.935,,,0,,,0,
2021-05-19 12:30:00,32.74,80.8782,40.73,,27.78,43.51,,0,,,,,22.45,144.9008,,,,,0,,,,,,9.9,32.41,106.746,70.355,,,,,,,,,0,0,0,0,0,0,,31.14,,,78.1,,,0,,,0,
2021-05-19 12:20:00,32.75,80.88,40.7825,10.0302,27.79,43.51,,0,,,,,22.45,,,,,,0,,,,,,9.9,,106.7485,70.35,,,,,,,,,0,0,0,0,0,0,3.1285,,,,78.215,,,0,,,0,
2021-05-19 12:15:00,32.7315,80.731,40.75,,27.75,43.5011,,0,,,,,,,,,,,0,,,,,,9.9,32.3702,106.745,70.37,30.15,,,,,,,,0,0,0,0,0,0,,,,,,47.1814,,0,,,0,
2021-05-19 11:50:00,32.76,80.695,41.12,,27.7,43.41,,0,,,,,22.3392,,,,,,0,,,,,,9.88,,106.745,70.275,,,,,,,,,0,0,0,0,0,0,,,,,77.625,,,0,,,0,
2021-05-19 11:45:00,32.76,80.7,41.22,,27.69,43.41,,0,,,,,,,,,,,0,,,,,,9.86,,106.7524,70.33,,,,,,,,,0,0,0,0,0,0,,,,,77.545,47.04,,0,,,0,
2021-05-19 11:25:00,32.66,80.83,40.97,,27.72,43.42,,0,,,,,,,,,,,0,,,,,,,,106.7599,70.38,,,,,,,,,0,0,0,0,0,0,3.1283,31.0801,,,77.29,47.166,,0,,,0,
2021-05-19 11:20:00,32.6491,80.65,40.96,,27.65,43.34,,0,,,,,,,,,,,0,,,,,,9.86,,106.7599,70.3,,,,,,,,,0,0,0,0,0,0,,,,,77.43,,,0,,,0,
2021-05-19 11:00:00,32.572,80.6973,41.35,,27.68,43.35,,0,,,,,,144.06,,,,,0,,,,,,9.85,,106.735,70.24,,,,,,,,,0,0,0,0,0,0,3.15,,,,77.8,,,0,,,0,
2021-05-19 10:55:00,32.565,80.69,41.3,,27.66,43.4,,0,,,,,22.3656,143.74,,,,,0,,,,,,,32.26,106.75,70.37,,,,,,,,,0,0,0,0,0,0,3.149,,63.97,,77.5619,,,0,,,0,
2021-05-19 10:50:00,32.46,80.602,41.13,,27.635,43.36,,0,,,,,,,,,,,0,,,,,,9.85,32.2,106.75,70.31,30.11,,,,,,,,0,0,0,0,0,0,3.15,31.11,,,77.17,,,0,,,0,
2021-05-19 10:45:00,32.385,80.5,40.78,,27.62,43.325,,0,,,,,,143.4635,,,,,0,,,,,,9.86,,106.7553,70.17,,,,,,,,,0,0,0,0,0,0,,,,,77.44,,,0,,,0,
2021-05-19 10:30:00,32.3365,80.65,,,27.62,43.32,,0,,,,,,,,,,,0,,,,,,9.86,,106.75,70.11,30.08,,,,,,,,0,0,0,0,0,0,,31.01,,,77.98,46.7,,0,,,0,
2021-05-19 10:25:00,32.33,80.59,40.94,,27.57,43.21,,0,,,,,,,,,,,0,,,,,,,,106.75,70.0,,,,,,,,,0,0,0,0,0,0,3.1488,30.95,,,77.81,,,0,,,0,
2021-05-19 10:20:00,32.524,80.51,,,27.625,43.2,,0,,,,,22.0,,,,,,0,,,,,,,,106.755,69.96,30.03,,,,,,,,0,0,0,0,0,0,,,,,77.72,,,0,,,0,
2021-05-19 10:15:00,32.5617,80.355,40.78,,27.54,43.16,,0,,,,,,,,,,,0,,,,,,,32.1325,106.7619,69.73,,,,,,,,,0,0,0,0,0,0,,,,,77.79,,,0,,,0,
2021-05-19 10:10:00,32.6261,80.26,40.64,,27.45,43.19,,0,,,,,,,,,,,0,,,,,,,,106.77,69.6,,,,,,,,,0,0,0,0,0,0,3.14,,,,78.09,,,0,,,0,
2021-05-19 10:05:00,32.83,80.11,40.62,,27.6,43.2,,0,,,,,,,,,,,0,,,,,,,,106.765,69.5,30.08,,,,,,,,0,0,0,0,0,0,3.15,,,,78.4048,47.0,,0,,,0,
2021-05-19 10:00:00,32.84,80.42,40.705,,27.635,43.31,,0,,,,,,,,11.5096,,,0,,,,,,,,106.765,69.79,,,,,,,,,0,0,0,0,0,0,,,,,78.2726,,,0,,,0,
2021-05-19 09:50:00,32.83,80.315,,,27.435,43.27,,0,,,,,,,,,,,0,,,,,,,,106.755,69.63,30.08,,,,,,,,0,0,0,0,0,0,3.145,,,,78.41,,,0,,,0,
2021-05-19 09:45:00,32.98,80.35,40.1,,27.43,43.25,,0,,,,,22.019,144.11,,,,,0,,,,,,,32.05,106.755,69.58,30.095,,,,,,,,0,0,0,0,0,0,3.14,,,,78.3701,,,0,,,0,
2021-05-19 09:35:00,32.16,80.47,40.18,9.98,27.63,43.16,,0,,,,,22.54,144.44,,11.48,,,0,,,,,,,32.0,106.75,68.86,30.07,,,,,,,,0,0,0,0,0,0,3.13,30.73,63.13,,79.38,47.41,,0,,,0,
2021-05-18 16:00:00,32.51,81.36,40.79,,27.99,43.59,,0,,,,,,146.2,38.6,11.54,,,0,,,,,,,32.75,106.875,70.11,30.33,,,,,,,,0,0,0,0,0,0,3.18,,64.99,,80.71,,,0,,,0,
2021-05-18 15:35:00,32.595,81.755,41.1,,28.15,43.77,,0,,,,,,,,,,,0,,,,,,,,106.875,70.45,,,,,,,,,0,0,0,0,0,0,,,65.32,,81.435,,,0,,,0,
2021-05-18 15:25:00,32.5,81.705,41.06,,28.14,43.74,,0,,,,,,,,,,,0,,,,,,,,106.875,70.37,,,,,,,,,0,0,0,0,0,0,,,,,81.41,,,0,,,0,
2021-05-18 15:20:00,32.5,81.64,40.94,,28.18,43.73,,0,,,,,,,,,,,0,,,,,,,,106.879,70.35,30.382,,,,,,,,0,0,0,0,0,0,,,,,81.34,,,0,,,0,
2021-05-18 15:15:00,32.49,81.625,40.95,,28.13,43.71,,0,,,,,,,,,,,0,,,,,,,,106.875,70.22,,,,,,,,,0,0,0,0,0,0,3.18,,,,81.23,,,0,,,0,
2021-05-18 14:55:00,32.46,81.57,,10.12,28.12,43.68,,0,,,,,,146.79,38.495,11.54,,,0,,,,,,,32.78,106.87,70.23,,,,,,,,,0,0,0,0,0,0,,,,,81.18,,,0,,,0,
2021-05-18 14:25:00,32.45,81.78,40.82,,28.24,43.74,,0,,,,,,,,,,,0,,,,,,,33.0,106.8619,70.53,,,,,,,,,0,0,0,0,0,0,,,,,81.5,,,0,,,0,
2021-05-18 14:15:00,32.4372,81.8,41.18,,28.365,43.775,,0,,,,,,147.121,,,,,0,,,,,,,,106.865,70.59,30.34,,,,,,,,0,0,0,0,0,0,,,,,,,,0,,,0,
2021-05-18 13:40:00,32.415,81.88,41.17,,28.31,43.77,,0,,,,,,,,,,,0,,,,,,,,106.875,70.58,30.389,,,,,,,,0,0,0,0,0,0,3.21,,,,82.015,,,0,,,0,
2021-05-18 13:25:00,32.4,81.92,41.25,10.15,28.2861,43.765,,0,,,,,,,,,,,0,,,,,,,32.9101,106.87,70.59,,,,,,,,,0,0,0,0,0,0,3.25,,,,82.0299,,,0,,,0,
2021-05-18 13:15:00,32.3999,81.925,,,28.44,43.76,,0,,,,,,,,,,,0,,,,,,,,106.87,70.61,,,,,,,,,0,0,0,0,0,0,3.1794,,,,82.0299,,,0,,,0,
2021-05-18 13:10:00,32.355,81.87,41.15,,28.315,43.745,,0,,,,,,,,,,,0,,,,,,,32.91,106.865,70.56,,,,,,,,,0,0,0,0,0,0,3.1755,,,,81.605,,,0,,,0,
